TargetName	HUGOSymbol	TargetGroup	AnalyteType	CodeClass	ProbePool	MinCount	MaxCount	MedianCount	GeomeanCount	NumberOfProbesIncluded	NumberOfProbesTotal	GeneID
CHGB	CHGB	All Targets	RNA	Endogenous	01	1	3721	82.5	81.97986105	1	1	1114
SLC25A27	SLC25A27	All Targets	RNA	Endogenous	01	1	284	34	33.53039584	1	1	9481
CLIC2	CLIC2	All Targets	RNA	Endogenous	01	1	207	18.5	17.52569264	1	1	1193
PMF1	PMF1	All Targets	RNA	Endogenous	01	1	348	25.5	24.82868784	1	1	11243
CSTF2	CSTF2	All Targets	RNA	Endogenous	01	1	184	12	12.01588685	1	1	1478
KCNC1	KCNC1	All Targets	RNA	Endogenous	01	1	207	25.5	22.42048136	1	1	3746
DAO	DAO	All Targets	RNA	Endogenous	01	1	355	23	21.57929055	1	1	1610
FREM2	FREM2	All Targets	RNA	Endogenous	01	1	319	23	21.37256992	1	1	341640
COX5A	COX5A	All Targets	RNA	Endogenous	01	1	392	49.5	45.75677778	1	1	9377
GADD45G	GADD45G	All Targets	RNA	Endogenous	01	1	279	19	16.19074837	1	1	10912
PPP1R3D	PPP1R3D	All Targets	RNA	Endogenous	01	1	235	17.5	15.56716992	1	1	5509
CLEC3B	CLEC3B	All Targets	RNA	Endogenous	01	1	259	21	20.75364547	1	1	7123
COQ5	COQ5	All Targets	RNA	Endogenous	01	1	235	20	16.69151874	1	1	84274
FOXN2	FOXN2	All Targets	RNA	Endogenous	01	1	344	26.5	24.30781517	1	1	3344
FUT4	FUT4	All Targets	RNA	Endogenous	01	1	114	10	10.4866068	1	1	2526
TSPAN12	TSPAN12	All Targets	RNA	Endogenous	01	1	291	18	16.73251747	1	1	23554
NOL3	NOL3	All Targets	RNA	Endogenous	01	1	264	21.5	21.19895066	1	1	8996
LRRTM3	LRRTM3	All Targets	RNA	Endogenous	01	1	258	21	20.26806128	1	1	347731
PDGFB	PDGFB	All Targets	RNA	Endogenous	01	1	246	19	18.6617954	1	1	5155
CUL4A	CUL4A	All Targets	RNA	Endogenous	01	1	313	28	26.7337698	1	1	8451
IRS1	IRS1	All Targets	RNA	Endogenous	01	1	273	20	19.31740875	1	1	3667
EPS8L1	EPS8L1	All Targets	RNA	Endogenous	01	1	243	17	15.0709159	1	1	54869
PDLIM4	PDLIM4	All Targets	RNA	Endogenous	01	1	170	16.5	15.82824126	1	1	8572
OSGEPL1	OSGEPL1	All Targets	RNA	Endogenous	01	1	362	25	21.92841702	1	1	64172
ARHGAP9	ARHGAP9	All Targets	RNA	Endogenous	01	1	281	19.5	18.68984574	1	1	64333
COG3	COG3	All Targets	RNA	Endogenous	01	1	130	15.5	14.63217328	1	1	83548
ALDH9A1	ALDH9A1	All Targets	RNA	Endogenous	01	1	490	35	35.01188764	1	1	223
PRR13	PRR13	All Targets	RNA	Endogenous	01	1	366	39	38.48235212	1	1	54458
CLEC4A	CLEC4A	All Targets	RNA	Endogenous	01	1	145	14	12.52293885	1	1	50856
SULF1	SULF1	All Targets	RNA	Endogenous	01	1	311	22	19.86329086	1	1	23213
H2AC21	H2AC21	All Targets	RNA	Endogenous	01	1	176	19	17.74345734	1	1	317772
MMACHC	MMACHC	All Targets	RNA	Endogenous	01	1	134	14	13.79094198	1	1	25974
ENHO	ENHO	All Targets	RNA	Endogenous	01	1	437	32	29.71385357	1	1	375704
RPH3AL	RPH3AL	All Targets	RNA	Endogenous	01	1	127	15	13.79958829	1	1	9501
H2BW2	H2BW2	All Targets	RNA	Endogenous	01	1	121	10	9.357438233	1	1	286436
APOBEC3A	APOBEC3A	All Targets	RNA	Endogenous	01	1	108	9	8.145412483	1	1	200315
USP17L12	"USP17L2,USP17L5,USP17L28,USP17L29,USP17L22,USP17L20,USP17L21,USP17L26,USP17L27,USP17L24,USP17L25,USP17L9P,USP17L6P,USP17L30,USP17L17,USP17L15,USP17L13,USP17L12,USP17L11,USP17L10,USP17L19,USP17L18"	All Targets	RNA	Endogenous	01	1	184	23	24.38684156	1	1	100287205
ZNF850	ZNF850	All Targets	RNA	Endogenous	01	1	128	11	11.06755072	1	1	342892
POLR3A	POLR3A	All Targets	RNA	Endogenous	01	1	356	31.5	29.82921982	1	1	11128
NMT1	NMT1	All Targets	RNA	Endogenous	01	1	344	40	37.57584656	1	1	4836
OR10AD1	OR10AD1	All Targets	RNA	Endogenous	01	1	363	21.5	20.95007367	1	1	121275
