SlideName	ScanLabel	ROILabel	SegmentLabel	SegmentDisplayName	CD3+	CD20+	SMA+	Segment 3	CD11c	CD3	CD20	QCFlags	AOISurfaceArea	AOINucleiCount	ROICoordinateX	ROICoordinateY	RawReads	AlignedReads	DeduplicatedReads	TrimmedReads	StitchedReads	SequencingSaturation	SequencingSetID	UMIQ30	RTSQ30	GeoMxNgsPipelineVersion	LOT_Human_NGS_Whole_Transcriptome_Atlas_RNA	ROIID	SegmentID	LOQ (Human NGS Whole Transcriptome Atlas RNA)	Type
hu_lymph_node_001a	6B	001	Full ROI	6B | 001 | Full ROI	False	False	False	False	False	False	False		58328.08684	751	23975	27060	4265357	3772908	825510	3957490	3928760	80.64616866	A01356:56:H3CM3DMXY	0.9918	0.99	"""GeoMx_NGS_Pipeline_2.3.4"""	HWTA12002	9ce725fa-8f71-4d09-ba21-989322364ca6	505e6608-6bed-4016-a4fa-4a720f566160	19.07116463	Germinal center
hu_lymph_node_001a	6B	002	Full ROI	6B | 002 | Full ROI	False	False	False	False	False	False	False		57063.73399	1374	24303	27332	7089016	6688279	715374	7044099	6996691	89.90869819	A01356:56:H3CM3DMXY	0.9911	0.9906	"""GeoMx_NGS_Pipeline_2.3.4"""	HWTA12002	99348e83-9a04-4689-a5d9-28d8b4688cd0	f19cd627-0241-4896-a2ce-48d97ca39a48	18.80213595	B cell zone
hu_lymph_node_001a	6B	003	Full ROI	6B | 003 | Full ROI	False	False	False	False	False	False	False		79068.17356	1694	23615	27609	7986611	7156058	921118	7519612	7470152	88.46672262	A01356:56:H3CM3DMXY	0.9917	0.9907	"""GeoMx_NGS_Pipeline_2.3.4"""	HWTA12002	13ab1009-77e7-4941-97d1-7629d833343c	c079049c-fe69-40b2-a73e-ac7d50eb2ebf	19.43139376	T cell zone
hu_lymph_node_001a	6B	004	Full ROI	6B | 004 | Full ROI	False	False	False	False	False	False	False		86245.04256	1028	25384	18364	10477399	9907021	1238034	10418395	10345476	88.18376584	A01356:56:H3CM3DMXY	0.9913	0.9906	"""GeoMx_NGS_Pipeline_2.3.4"""	HWTA12002	638e0de8-32f7-40a5-8b25-f10f02b8af7b	a5b023f4-5761-41bd-8485-b656a2e03f9f	22.4781108	Germinal center
hu_lymph_node_001a	6B	005	Full ROI	6B | 005 | Full ROI	False	False	False	False	False	False	False		65462.4324	1398	25645	18105	10498264	9874211	1118846	10402106	10332876	89.34256178	A01356:56:H3CM3DMXY	0.991	0.9908	"""GeoMx_NGS_Pipeline_2.3.4"""	HWTA12002	31401741-8dda-4571-bfc8-1fb17110d55b	6c4bfc08-5d23-4894-90e2-0944d738a760	27.48522294	B cell zone
hu_lymph_node_001a	6B	006	Full ROI	6B | 006 | Full ROI	False	False	False	False	False	False	False		95642.40228	2130	25105	18785	10603269	9649149	1239079	10153717	10080907	88.31417933	A01356:56:H3CM3DMXY	0.9913	0.9905	"""GeoMx_NGS_Pipeline_2.3.4"""	HWTA12002	169b0627-b2ca-4c89-baa8-747efab8d3d8	4ea5fc75-fadf-4c35-a416-4a8ddf00baa7	26.74111776	T cell zone
hu_lymph_node_001a	6B	007	Full ROI	6B | 007 | Full ROI	False	False	False	False	False	False	False		77577.13562	979	9503	34845	8533802	8093299	964223	8494869	8444507	88.70113227	A01356:56:H3CM3DMXY	0.992	0.9916	"""GeoMx_NGS_Pipeline_2.3.4"""	HWTA12002	86666731-4c24-4fcb-86e3-6a6303f26842	078a17d7-36ee-45cd-bad3-a7f3f16685bd	17.94268969	Germinal center
hu_lymph_node_001a	6B	008	Full ROI	6B | 008 | Full ROI	False	False	False	False	False	False	False		43911.363	974	9380	34978	3718531	3518033	474537	3699764	3673832	87.23858965	A01356:56:H3CM3DMXY	0.9909	0.9905	"""GeoMx_NGS_Pipeline_2.3.4"""	HWTA12002	859bf991-58dc-458d-b9fb-117f123d299b	2e05778b-ee79-4d41-9dca-ed1fb2d4af3c	11.20454963	B cell zone
hu_lymph_node_001a	6B	009	Full ROI	6B | 009 | Full ROI	False	False	False	False	False	False	False		84540.90785	2040	10097	34409	8450281	7968486	1273710	8406658	8341219	84.92701012	A01356:56:H3CM3DMXY	0.9907	0.9904	"""GeoMx_NGS_Pipeline_2.3.4"""	HWTA12002	d461b1ba-57f7-412f-ba4c-72871f268a6d	b0ad761b-53db-4545-a480-5f8aaca51801	26.41898679	T cell zone
hu_lymph_node_001a	6B	010	Full ROI	6B | 010 | Full ROI	False	False	False	False	False	False	False		69740.9935	925	9318	33128	7803901	7128541	919336	7507373	7453986	88.21953277	A01356:56:H3CM3DMXY	0.9917	0.991	"""GeoMx_NGS_Pipeline_2.3.4"""	HWTA12002	e0e4fa20-8449-4190-b637-a268dce820c3	89ba3a06-f849-40e6-baa4-f6dec9f67a52	19.95029486	Germinal center
hu_lymph_node_001a	6B	011	Full ROI	6B | 011 | Full ROI	False	False	False	False	False	False	False		62120.34608	1406	8967	33528	5184446	4901867	578179	5160157	5123448	88.84781518	A01356:56:H3CM3DMXY	0.9909	0.9911	"""GeoMx_NGS_Pipeline_2.3.4"""	HWTA12002	b3f7195b-1e0d-415a-b94e-e2b73c9c43d2	aebc1f7e-c593-46c9-ab11-93690e74d33c	13.88669599	B cell zone
hu_lymph_node_001a	6B	012	Full ROI	6B | 012 | Full ROI	False	False	False	False	False	False	False		47339.13564	1130	10169	32873	4220073	3980385	432385	4190640	4163843	89.75408719	A01356:56:H3CM3DMXY	0.9917	0.9913	"""GeoMx_NGS_Pipeline_2.3.4"""	HWTA12002	0b5998bd-25d8-456f-9212-9ad84d49525f	2ddb39d6-b7eb-4c75-ae18-1c8ae18f5289	11.68978694	T cell zone
hu_lymph_node_001a	6B	013	Full ROI	6B | 013 | Full ROI	False	False	False	False	False	False	False		101746.5936	1298	21798	36418	10729337	10142321	1067957	10678182	10607913	90.04638404	A01356:56:H3CM3DMXY	0.9916	0.9912	"""GeoMx_NGS_Pipeline_2.3.4"""	HWTA12002	9eb9dcdc-5ca4-4dc0-95e2-6cac3c4922ef	3452a8d4-c7b5-478d-90b1-4f3d56974de7	19.48552848	Germinal center
hu_lymph_node_001a	6B	014	Full ROI	6B | 014 | Full ROI	False	False	False	False	False	False	False		67270.47776	1581	22224	36621	4666387	4399123	520485	4640424	4609133	88.84608156	A01356:56:H3CM3DMXY	0.9914	0.9908	"""GeoMx_NGS_Pipeline_2.3.4"""	HWTA12002	32df93ef-80c6-4fa8-b829-d06639115774	09194598-157e-48c5-bf54-a75d63bbcda1	13.64894149	B cell zone
hu_lymph_node_001a	6B	015	Full ROI	6B | 015 | Full ROI	False	False	False	False	False	False	False		82980.96916	1905	20756	36279	10308084	9715891	977226	10246110	10173255	90.5198095	A01356:56:H3CM3DMXY	0.9906	0.9903	"""GeoMx_NGS_Pipeline_2.3.4"""	HWTA12002	fcf4034e-db51-4c9e-931c-e021d668d1c4	8bf92e61-dc94-4ff4-a346-7dc42dfc4632	24.78091864	T cell zone
hu_lymph_node_001a	6B	016	Full ROI	6B | 016 | Full ROI	False	False	False	False	False	False	False		89649.31541	1140	25388	26749	8371682	7888411	1035593	8328365	8261775	87.62980964	A01356:56:H3CM3DMXY	0.9909	0.9906	"""GeoMx_NGS_Pipeline_2.3.4"""	HWTA12002	fced47cb-337c-45a7-a8ef-aa24bd5bb186	2bc8750e-c732-44b9-86f6-0e92998fc448	21.09137316	Germinal center
hu_lymph_node_001a	6B	017	Full ROI	6B | 017 | Full ROI	False	False	False	False	False	False	False		48594.0566	1033	25314	27219	6030678	5677237	486504	5987810	5945020	91.93284735	A01356:56:H3CM3DMXY	0.9913	0.9908	"""GeoMx_NGS_Pipeline_2.3.4"""	HWTA12002	2fa9ac45-8138-4a65-921d-6478c0ea9d79	8e2e2a08-0d97-476e-9fcd-f00a7b934d91	14.8414829	B cell zone
hu_lymph_node_001a	6B	018	Full ROI	6B | 018 | Full ROI	False	False	False	False	False	False	False		97309.12915	2093	26014	26134	15921652	15006287	1896543	15832950	15715135	88.08827752	A01356:56:H3CM3DMXY	0.9914	0.991	"""GeoMx_NGS_Pipeline_2.3.4"""	HWTA12002	92601fc2-080f-412a-b7ef-4c59ee739a5a	eb6f5d68-70ce-4841-9b89-32ceb9abf9af	33.40516631	T cell zone
hu_lymph_node_001a	6B	019	Full ROI	6B | 019 | Full ROI	False	False	False	False	False	False	False		31356.23847	442	9260	15437	2428139	2290117	395896	2411546	2394385	83.69549684	A01356:56:H3CM3DMXY	0.9908	0.9909	"""GeoMx_NGS_Pipeline_2.3.4"""	HWTA12002	ba51b10f-11eb-49f6-b00f-403284e31afc	6b62f4d7-1de5-4a61-85f6-dcd1295255d0	10.90499353	Germinal center
hu_lymph_node_001a	6B	020	Full ROI	6B | 020 | Full ROI	False	False	False	False	False	False	False		39912.40149	536	6925	16105	3580034	3216670	652931	3380971	3356647	81.76187712	A01356:56:H3CM3DMXY	0.9912	0.9899	"""GeoMx_NGS_Pipeline_2.3.4"""	HWTA12002	63ffc583-eff3-47cc-a0ee-2bfd523e6883	618b7a88-f06f-4a6a-bffc-deab611094af	15.12318708	Germinal center
